"Urgent! Please see the tab ""Endangered Species!"" on many tier 4+ resources.",,,,,,,,,,,,,,,,,,,
Sheet made by Mistro and Pebble in their travels. Japanese Language version available here by HUJAJA ðŸ‡¯ðŸ‡µ,,,,,,,,,,,,,,,,,Last Updated 7/14/25,,
"If you're looking for a Map, check out LittleDaimon's for current/past world maps.",,,,,,,,,,,,,,,,,Not Updated Yet:,In Progress:,Updated:
Safe Meadows,,,,,,,,,,,,,,,Map Texture,,-Look for T7+ ,-Look for EA patch ,-Added some missing resources
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,Ore Caves,changes in the ,-Added some biome cave info
T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,,Sticks,,,,three woods biomes.,
,,,,,,,,,,,,,,Flint,,,,i.e. No t2 stone,
,,,,,,,,,,,,,,Embergrain,,,, in Pine Forest.,
,,,,,,,,,,,,,,Starbulbs,,,,,
,,,,,,,,,,,,,,Large Ferralith Cave,Description,,,,
,,,,,,,,,,,,,,,"The area surrounding the Ancient City starting locations. Terraforming can't take place within 10 tiles of the outside of this area currently, so settlements, roads, etc. must be outside of this biome.",,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Breezy Grasslands,,,,,,,,,,,,,,,Map Texture,,World Wonders,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,"""Yggdrasil""","A giant tree that appears in any biome. It is speculated that at least three exist in each Region, as three have been found in a single Region. It has a unique resource of ""Traveler's Fruits"" that appear beneath it and respawn (eventually). The fruits grant 20 teleport energy when used.",
T1,,T1,,,,T1,,,T1,,,,T1,Drone,,,,,
T2,,T2,,,T2,,\,,T2,,,,,,,,,,
,,,T3,T3,,,,T3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,T4*,,,,T4,,,,,,,,,Description,,,,
,,,,,T5,,,,,,,,,,"Gently rolling hills with windswept trees. Looks similar to the Safe Meadows, but watch out for Jakyls and Drones! ",,,,
T6,,,T6,T6,,,,,,T7,,,,,,,,,
,,,,,,,,,,T8,,,,,,,,,
,,,,,,,,,,T9,,,,,,,,,
,,,,,,,,,T10,T10,,,,,,,,,
,,"*See EA Spawn Time Data tab, currently none seem to be respawning.",,,,,,,,,,,,,,,,,
Calm Forest,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,T1,,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,T1,Sticks,,,,,
T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,T2,,Jakyl Den,,,,,
,T3,,T3,,,,,T3,,,,,,Large Ferralith Cave,,,,,
T4,,T4*,,,,,,,,,,,,,,,,,
,T5,T5,,,,,,,,,,,,,Description,,,,
,,,,,,,,T6,,,,,,,"Slightly muddy looking forests with some raised land and a few hills, but mostly flat.",,,,
,T7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
T10,,T10,,,,,,,,,,,,,,,,,
,,"*See EA Spawn Time Data tab, currently none seem to be respawning.",,,,,,,,,,,,,,,,,
Pine Forest,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,T1,,,,,T1,,T1,T1,,,,T1,Terratoad,,,,,
,T2,,T2,T2,,T2,T2,,,T2,T2,T2,,Sticks,,,,,
,T3,T3,T3,T3,T3,,T3,T3,T3,T3,T3,T3,,Umbura,,,,,
T4,T4*,,,,,,,T4,,,,,,Large Emarium Cave,,,,,
,T5,T5,,,,T5,,,,,,,,,Description,,,,
,T6,,,,,,T6,,,,,,,,The terrain here is often hilly with few flat areas and has a minty green fog. Terratoads have ranged attacks.,,,,
T7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,T8,,,,,,,
,,T9,,,,,,,,,,,,,,,,,
T10,T10,,,,,,,T10,,,,,,,,,,,
,"*Confirmed by devs to be missing, leaving here for when it returns as it might be located here",,,,,,,,,,,,,,,,,,
Autumn Forest,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
T1,,,,,,T1,T1,T1,T1,,,,T1,Starbulbs,,,,,
,T2,,,,,T2,T2,T2,,T2,T2,T2,,Salt,,,,,
,T3,,T3,T3,T3,,T3,,T3,,,,,Large Pyrelite Cave,,,,,
T4,T4*,,T4,T4,T4,,,T4,,,,,,Umbura (rarely),,,,,
T5,,T5,,,,T5,,,,,,,,,Description,,,,
,T6,T6,,,,T6,,T6,,,,,,,"A very orangish red type of area with dark dirt. Has a slight orange-red fog to it, but the land is quite flat with a few hills.",,,,
T7,T7,T7,,,,,,,,,,T7,,,,,,,
T8,,,,,,,,,,,,,,,,,,,
T9,,,,,,,,,,,,,,,,,,,
T10,T10,,,,,,,T10,,,,,,,,,,,
,"*Confirmed by devs to be missing, leaving here for when it returns as it might be located here",,,,,,,,,,,,,,,,,,
Swamp,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,,T1,,,,T1,,,T1,,,,,Drone,,,,,
,,,,,,T2,,,,,,T2,,Large Luminite Cave,,,,,
T3,T3,,,,,T3,,,,T3,T3,T3,,Swamp Terratoad,,,,,
T4,,T4,T4,T4,T4,,,T4,,,T4,T4,,,,,,,
T5,,T5,,,,T5,T5,T5,,,,T5,,,Description,,,,
T6,,,,,,,,,,T6,,,,,"The area has a greenish fog and seems to slow movement even on ground. Surrounded by Rocky Garden biome, except for some outlets to the ocean.",,,,
,,,T7,T7,,T7,,,,,,,,,,,,,
,T8,,T8,T8,,,,T8,T8,,T8,,,,,,,,
,T9,,,,,,,,,,,T9,,,,,,,
T10,T10,T10,,,,T10,T10,T10,T10*,,,,,,,,,,
,,,,,,,*Possible spillover from Rocky Garden,,,,,,,,,,,,
Misty Tundra,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
T1,,,,,,,,,,,,,,Sticks,,,,,
,,T2,,,,T2,,,,,,,,Jakyl Den,,,,,
T3,,T3,T3,T3,T3,,T3,T3,,T3,T3,T3,,Soldier,,,,,
,,,,,T4,,T4,,,T4,,,,Umbura,,,,,
,,T5,,T5,,T5,,,,,T5,,,,Description,,,,
T6,T6,,T6,T6,,,,,T6,,,,,,"Very steep area, found at the edge of Pine Forest biomes. White fog. Only has short vegitation, but quite mountainous.",,,,
T7,T7,,,,,T7,T7,,,,,,,,,,,,
T8,,,,,T8,,,,,,,,,,,,,,
T9,,,,,T9,,,,T9,T9,T9,T9,,,,,,,
T10,T10,T10,,,,,T10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rocky Garden,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,,,T1,T1,,,,,,,,,,Drone,,,,,
T2,,,,,,,T2,T2,,,T2,,,Skitch,,,,,
T3,T3,,,,,T3,,,,,,,,Large Elenvar Cave,,,,,
,,,T4,T4,,,T4,,T4,T4,T4,T4,,,,,,,
,,,T5,T5,,,T5,,T5,,,T5,,,Description,,,,
,,,,,T6,,,,,,,,,,"Very steep area, has a slightly light blue fog. Looks rather alien with the trees and rock piles. Sometimes surrounds swamps, but not always.",,,,
T7,,,,,,,T7,,,,,,,,,,,,
,T8,T8,,,,,,,,,T8,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,T10*,,,,,T10*,,T10*,,,,,,,,,,
,,,,,,,,,* Possible Spillover from Swamp,,,,,,,,,,
Snowy Peaks,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,,,,,,,T1,T1,,,,,,Jakyl Den,,,,,
,T2,,T2,,,T2,,,,,,T2,,Alpha Umbura,,,,,
,,T3,,,,,T3,T3,,,T3,,,Frost Crab,,,,,
T4,,,T4,,,,T4,T4,,,T4,,,,,,,,
,T5,T5,,,,,T5,,T5,T5,,T5,,,Description,,,,
,,T6,,,T6,,T6,,,T6,,T6,,,"Found in centers of Pine Forest biomes in the northmost regions of the world. Fairly flat, but at the top of mountains. You'll need something to mitigate the damage of the cold debuff.",,,,
,,,,,,,,,,T7,,,,,,,,,
T8,,T8,,,,T8,T8,,T8,,,T8,,,,,,,
,,,,,,,T9,,,,T9,,,,,,,,
,,,,,,,T10,T10,T10,T10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Desert Wasteland,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,,,,,,,,T1,,,,,T1,Skitch,,,,,
T2,,,,,,,T2,,T2,,T2,T2,,King Jakyl,,,,,
T3,,,,,,T3,,,,,,,,Jakyl Den,,,,,
,,,,,,,,,,,,,,Desert Crab,,,,,
T5,,,,,T5,,,,,,T5,,,Large Pyrelite Cave,Description,,,,
T6,,,,,,,,,T6,T6,,,,,Large and mostly flat and arid land in the southmost regions of the world. Fairly easy to locate due to lack of water. You'll need something to mitigate the damage of the heat debuff.,,,,
T7,,,,,,,T7,T7,T7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,T9,T9,,,,,,,,T9,,,,,,,
T10,,,,,T10,,T10,,T10,T10,T10,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Jungle,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
,,,T1,T1,T1,,,T1,,,,,,Drone,,,,,
,,,,,,T2,,,,,,,,Terratoad,,,,,
T3,T3,,,,,T3,,,T3,T3,T3,,,Queen,,,,,
,,,,,,T4,,T4,,T4,,,T4,Soldier,,,,,
T5,,,,,,T5,,,T5,,T5,,T5,Large Rathium Cave,Description,,,,
,,,T6,T6,,T6,T6,,,,T6,T6,T6,,"A lush Tropical Forest/Mangrove area, with towering spires throughout. The terrian is mostly passable, but there are many waterways and pools.",,,,
,T7,,T7,T7,T7,,,,,,,,,,,,,,
,T8,,,,,,,T8,T8,,,,,,,,,,
T9,T9,T9,,,,,,,,,,T9,,,,,,,
,T10,,,,,T10,,T10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sapwoods,,,,,,,,,,,,,,,Map Texture,,,,
Flower,Mushroom,Berry,Bait Fish,Lake Fish,Animal,Fiber,Ore,Wood,Stone,Glyph,Sand,Clay,Monster,Unique Resource,,,,,
T1,T1,T1,,,,T1,,T1,,,,,T1,Alpha Umbura,,,,,
T2,T2,T2,,,,T2,,T2,T2,,,,,King Umbura,,,,,
,,,,,T3,,,,,T3,,,,Soldier,,,,,
T4,,,,,,T4,,,,,,,,,,,,,
,T5,,T5,T5,,,T5,,,T5,,,,,Description,,,,
,T6,,,,,T6,,,T6,,T6,,,,"A true ""Dark Forest"" filled with towering Sapwood trees. King and Alpha Umbara frequent these woods. Don't let the T1 difficulty fool you, they're quite tough. Soldiers are strange parrot/wasp like creatures, comparable to Alpha Jakyls. The land itself is quite flat.",,,,
,,T7,,,,T7,,,,,T7,T7,,,,,,,
,,,T8,T8,,,T8,,,T8,,,,,,,,,
T9,T9,,,,,,,T9,,,,,,,,,,,
,T10,,,,,,,T10,,,,,,,,,,,